id,location_name,location_url,location_zip,location_address,room_number,location_phone,locations_hours,services,services_contact,eligibility,how_best_to_access,category,search_keywords,organization
1,California Conservation Corps Los Angeles,,90037,"4366 South Main St. Los Angeles, CA",,530. 272.4008 or 213.744.2254,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",School (K-12),Diploma|Alternative Graduation,John Muir Charter Schools
2,California Conservation Corps Los Angeles,,90037,"4366 South Main St. Los Angeles, CA",,530. 272.4008 or 213.744.2254,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",Work,Job Training,John Muir Charter Schools
3,GEM Academy WIOA Program,,90057,"520 S. Lafayette Park Place #103 Los Angeles, CA",,213.385.5358,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",School (K-12),Diploma|Alternative Graduation,John Muir Charter Schools
4,GEM Academy WIOA Program,,90057,"520 S. Lafayette Park Place #103 Los Angeles, CA",,213.385.5358,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",Work,Job Training,John Muir Charter Schools
5,Pasadena YouthBuild,http://www.pasadenayouthbuild.org/,91103,"1020 North Fair Oaks Avenue Pasadena , CA",,626. 437.3509,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",School (K-12),Diploma|Alternative Graduation,John Muir Charter Schools
6,Pasadena YouthBuild,http://www.pasadenayouthbuild.org/,91103,"1020 North Fair Oaks Avenue Pasadena , CA",,626. 437.3509,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",Work,Job Training,John Muir Charter Schools
7,CCEO Youthbuild,,90304,"5021 Lennox Blvd. Lennox, CA",,310.225.3060,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",School (K-12),Diploma|Alternative Graduation,John Muir Charter Schools
8,CCEO Youthbuild,,90304,"5021 Lennox Blvd. Lennox, CA",,310.225.3060,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",Work,Job Training,John Muir Charter Schools
9,Stop the Violence Prepatory Academy,,90301,"652 E Manchester Blvd Inglewood, CA",,323.777.4893,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",School (K-12),Diploma|Alternative Graduation,John Muir Charter Schools
10,Stop the Violence Prepatory Academy,,90301,"652 E Manchester Blvd Inglewood, CA",,323.777.4893,,John Muir Charter School is a statewide WASC accredited high school diploma program that serves youth 16-24 that have been pushed out of the traditional education system. We offer a rigorous academic program with full-time accredited teachers and academic tutors in tandem with career and college readiness programs at our school sites.,Kenta Darley-Usmar646.283.2292kdarleyusmar@johnmuircs.com,Ages 16-25 and                                                                    in need of a high-school diploma,"Call 213.744.2254 to schedule an appointment.  Bring the following documents: picture ID, birth certificate, social security, proof of address and high school transcripts. However,  the documents should not be a barrier to enrollment.",Work,Job Training,John Muir Charter Schools
