id,organization,url,zip,address,phone,hours
1,A Brighter Future Program,http://www.ymcala.org/hollywood/classes/a-brighter-future,,,323.762.8736,
2,A Place Called Home,http://www.apch.org/,90011,"2830 S. Central Avenue, Los Angeles, CA",323.232.7653,Monday-Friday 9:00 a.m.-6:00 p.m.
3,Alliance for Children's Rights,http://kids-alliance.org/,90010,"3333 Wilshire Blvd Suite 550, Los Angeles, CA",213.368.6010,Monday-Friday: 9:00 a.m.- 5:30p.m.
4,Alta Med Youth Center and Medical Management – Indiana,http://www.altamed.org/programs_and_services/youth_programs,90063,"512 South Indiana St., Los Angeles, CA",877.462.2582,
5,America's Job Center: Alta Med,http://www.altamed.org/programs_and_services/youth_programs,90040,"2040 Camfield Ave., Los Angeles, CA",323.725.8751,
6,America's Job Center: Archdiocesan Youth Employment Services (AYE),http://www.ayela.org/,90010,"3250 Wilshire Blvd., Suite 1010, Los Angeles, CA",213.736.5456,
7,America's Job Center: Beach Cities One-Stop,http://www.sbwib.org/,90277,"1611 S Catalina Ave., #207, Redondo Beach, CA",310.792.1300,
8,America's Job Center: Boyle Heights Technology YouthSource Center,http://bhtechyouthcenter.wix.com/bhtyc,90033,"1600 East 4th Street, Los Angeles CA",323.526.0145,
9,America's Job Center: Carson South Bay One-Stop,http://www.sbwib.org/,90745,"2677 Zoe Ave., Carson, CA",310.9521762,
10,America's Job Center: City of Compton CareerLink Center (Youth),http://www.comptoncity.org/,90221,"700 N Bullis Road, Compton, CA",310.605.3050,Monday - Thursday: 7:00 am - 6:00 pm
11,America's Job Center: Door of Hope,http://www.doorofhopecc.org/,90022,"1325 S Atlantic Blvd., Los Angeles, CA",323.262.0777,
12,America's Job Center: Foothill Employment & Training Connection,http://www.foothilletc.org/,91106,"1207 E Green Street, Pasadena, CA",626.796.5627,Monday - Friday: 8:00am - 5:00pm
13,America's Job Center: Gardena One-Stop Business and Career Center,http://www.sbwib.org/,90247,"16801 S. Western Ave., Gardena, CA",310.538.7070,
14,America's Job Center: Inglewood One Stop,http://www.sbwib.org/,90301,"110 South La Brea Ave., Inglewood, CA",310.680.3700,
15,America's Job Center: LA Conservation Corps,http://lacorps.org/,90015,"605 W. Olympic Blvd., Suite 450, Los Angeles, CA",213.749.3601,
16,America's Job Center: Living Advantage,http://www.livingadvantageinc.org/,90017,"2734 Raymond Ave., Los Angeles, CA",323.731.6471,
17,America's Job Center: Metro North WorkSource Center : Goodwill Industries of Southern California,http://www.goodwillsocal.org/,90031,"342 North San Fernando Road, Los Angeles, CA",323.539.2000,Monday/ Friday: 8:00 am-5:00 pm Tuesday-Thursday: 8:00 am-7:00 pm First and Third Saturday: 9:00 am-1:00 pm
18,America's Job Center: Mexican American Opportunites Foundation,http://www.maof.org/,90640,"401 N Garfiled Ave., Montebello, CA",323.890.1555,
19,America's Job Center: Special Services for Groups,http://www.sbwib.org/,90015,"605 W Olympic Blvd #600, Los Angeles, CA",213.553.1800,
20,America's Job Center: The Housing Authority of the City of Los Angeles (HACLA),http://www.hacla.org/news/ArticleID/5/Grand-Opening-of-the-Watts-Los-Angeles-WorkSource-Center-at-Imperial-Courts,90057,"2600 Wilshire Blvd., Los Angeles, CA",213.252.2500,Monday - Friday: 8:00 am - 4:30 pm
21,America's Job Center: Torrance One-Stop,http://www.sbwib.org/,90501,"1220 Engracia Ave., Torrance, CA",310.680.3830,
22,America's Job Center: West Adams Worksource Center,,90043,"5318 S Crenshaw Blvd., Los Angeles, CA",323.293.6284,
23,Angel After Glow Motel Shelter,,90044,"6521 S. Vermont Ave., Los Angeles, CA",323.868.8181,
24,APA Don King,,90003,"8770 S. Broadway, Los Angeles, CA",,
25,At The Fountain Transitional Living,http://atthefountaintl.org/ourmission.html,90221,"2515 N. Santa Fe Avenue, Compton, CA",310.631.1600,
26,Beacon Housing- Lowe House,,91103,"1631 Navarro Ave., Pasadena, CA",323.256.6975,
27,Bet Tzedek,http://www.bettzedek.org/,90010,"3250 Wilshire Blvd., 13th Floor, Los Angeles, CA",323.939.0506,Monday-Friday: 9:00am – 5:00 pm
28,Bridge to Work,http://www.sbwib.org/,90250,"11539 Hawthorne Blvd., 5th Floor, Hawthorne, CA",310.970.7700,
29,California Adult Schools (CAS),,,,,
30,"California State University, Dominguez Hills (CSUDH)",http://www.csudh.edu/,90747,"1000 East Victoria Street, Carson, CA",310. 243.3696,Hours vary per program
31,"California State University, Los Angeles (CSULA)",http://www.calstatela.edu/,90032,"5151 State University Drive, Los Angeles, CA",323.343.3000,Hours vary per program
32,Catholic Charities of LA- Angel's Flight Runaway,http://catholiccharitiesla.org/what-we-do/guide-children-and-teens/angels-flight-for-runaway-and-homeless-youth/,90057,"357 S. Westlake Ave., Los Angeles, CA",800.833.2499,"Monday, Wednesday-Friday: 10:00am to 12:00pm; 1:00pm to 3:00pm."
33,Children Youth and Family Collaborative (CYFC),http://cyfcla.org/,90007,"1200 W. 37th Place, Los Angeles, CA",323.730.9400,Monday - Friday 9:00am to 6:00pm
34,Children's Institute Inc. (CII),http://www.childrensinstitute.org/,90026,"2121 W. Temple Blvd., Los Angeles, CA",213.260.7600,Monday - Friday 8:00am-5:00pm
35,Children's Law Center (CLC),http://www.clccal.org/,91754,"201 Centre Plaza Drive, Monterey Park, CA",323.980.1526,Monday-Friday 8:00am-5:00pm
36,Clothes the Deal,http://www.clothesthedeal.org/,90242,"9525 Imperial Highway, Downey, CA",562.922.8635,Monday – Thursday: 8:00am - 5:00pm Friday: 10:00am-3:00pm
37,Coalition for Responsible Community Development (CRCD),http://www.coalitionrcd.org/,90011,"1006 E. 28th Street, Los Angeles, CA",323.521.1910 Ext. 210,
38,Compton Welfare Rights,,90220,"528 W. Almond St., Compton, CA",310.631.5193,
39,Covenant House California,http://covenanthousecalifornia.org/los-angeles-pg.php,90027,"1325 N. Western Avenue, Hollywood, CA",323.461.3131,
40,Crystal Stairs,http://www.crystalstairs.org/,90056,"5110 West Goldleaf Circle, Suite 150, Los Angeles, CA",323.421.2143 or 323.421.1360,Monday - Friday 8:00am-5:00pm
41,Department of Developmental Services,http://www.dds.ca.gov/,94244,"1600 9th Street. PO BOX 944202, Sacramento, CA",916.654.1690,
42,Department of Mental Health,http://dmh.lacounty.gov/wps/portal/dmh,90020,"550 S Vermont Ave., Los Angeles, CA",213.738.2408,
43,Department of Public Social Services (DPSS),https://dpss.lacounty.gov/,91746,"DPSS Headquarters - CR 138, Main Building 12860 Crossroads Parkway South, City of Industry, CA",562.908.8400,Monday-Thursday 7:00am - 6:00 pm
44,Didi Hirsch,http://www.didihirsch.org/,90230,"4760 South Sepulveda Blvd., Culver City, CA",888.807.7250,Monday-Thursday: 8:30am-8:00pm Friday: 8:30am-5:00pm
45,Disability Rights Legal Center (DRLC),http://www.disabilityrightslegalcenter.org/,90017,"800 S. Figueroa St., Los Angeles, CA",213.736.1334,
46,Door of Hope,http://www.doorofhopecc.org/,90022,"1325 S Atlantic Blvd., Los Angeles, CA",626.304.9130,
47,Downtown Women's Center,http://www.downtownwomenscenter.org/,90013,"442 S. San Pedro St., Los Angeles, CA",213.680.0600,
48,Dream Center,http://www.dreamcenter.org/,90026,"2301 Bellevue Ave., Los Angeles, CA",213.273.7000,
49,East Los Angeles College,http://www.elac.edu/,91754,"1301 Avenida Cesar Chavez, Monterey Park, CA (main campus)",323.265.8650,Hours vary per program
50,Echo Parenting,http://www.echoparenting.org/,90026,"1226 N. Alvarado Street, Los Angeles, CA",213.484.6676 x311,
51,Echoes of Hope,http://www.echoesofhope.org/,90245,"300 Continental Blvd., El Segundo, CA",310.414.1600,
52,Edu Care Foundation,http://educarefoundation.com/,91406,"16134 Wyandotte St., Van Nuys, CA",818.646.5220,
53,El Camino College,http://www.elcamino.edu/,90506,"16007 Crenshaw Blvd., Torrance, CA",310.532.3670,Hours vary per program
54,El Camino College Compton Center,http://www.compton.edu/,90221,"1111 E. Artesia Blvd., Compton, CA",310.900.1600,Hours vary per program
55,El Nido Family Centers,http://elnidofamilycenters.org/,91345,"10200 Sepulveda Blvd. Ste. 350, Mission Hills, CA",818.830.3646,Monday-Friday 8:30am-5:00pm
56,Elizabeth House,http://www.elizabethhouse.net/,91101,"760 Santa Barbara St, Pasadena, CA",626.577.4434,
57,Emmanuel Baptist Rescue Mission,http://www.ebrm.org/,90013,"530 E 5th St., Los Angeles, CA",231..626.4681,
58,Filipino American Service Group Inc.,http://www.fasgi.org/,90026,"135 N. Park View St,. Los Angeles, CA",213.487.9806,
59,First Place for Youth,firstplaceforyouth.org,90010,"3530 Wilshire Blvd., Los Angeles, CA",213.835.2700,
60,First Steps for Youth,http://www.firststepsforyouth.org/,90036,"836 S. Sycamore Avenue, Los Angeles, CA",323.936.3854,
61,Fred Jordan Mission,https://fjm.org/,90013,"445 Towne Ave., Los Angeles, CA",(626) 915-1981,
62,Friends Helping Friends LA Transitional Housing,http://friendshelpingfriendsla.org/,90018,"3701 Cherrywood Ave., Los Angeles, CA",323.293.9778,
63,Good Shepherd Center for Homeless Women,http://gschomeless.org/2013/,90026,"1671 Beverly Blvd., Los Angeles, CA",213.235.1460,
64,Gwen Bolden Manor,http://low-income-housing.credio.com/l/2533/Gwen-Bolden-Manor,90011,"1302 E 41st St, Los Angeles, CA",323.231.8600 or 323.846.2500,
65,Hathaway-Sycamores,http://www.hathaway-sycamores.org/,91104,"851 N Oakland Ave., Pasadena, CA",626.831.6808,Orientation: Tuesdays 3:00 – 5:00 pm
66,Higher Goals Inc.,http://www.highergoals.org/,90044,"10510 S. Vermont Ave., Los Angeles, CA",,
67,His Sheltering Arms Inc.,,90061,"11101 S. Main St., Los Angeles, CA",(323) 755-6646,
68,HollyGrove/EMQ,http://www.hollygrove.org/,90038,"815 N. El Centro Avenue, Los Angeles, CA",323. 463.2119,
69,Homeless Adult Center,,91105,"412 S. Raymond Avenue, Pasadena, CA",,
70,Homeless Prevention and Rapid Re-Housing (HPRP),https://www.hudexchange.info/resource/1128/homeless-prevention-and-rapid-re-housing-los-angeles-community/,,,,
71,Hope for Homeless Youth,http://www.hopeforhomelessyouth.org/,90026,"626 Coronado Terrace, Los Angeles, CA",213.353.0775,
72,Hope Opportunity Movement,,90008,"4131-35 Palmwood Drive, Los Angeles, CA",323.493.0185,
73,Hope Refuge,http://www.hoperefuge.org/,90018,"4003 W. Adams Blvd., Los Angeles, CA",323.786.2413,
