id,search_keywords
1,"2-year Colleges"
2,"4-year Colleges"
3,"AB12/Extended Foster Care"
4,"AB167/Partial Credits"
5,"ACT/SAT Prep/Tests"
6,"Adult Education"
7,"Alternative Graduation"
8,"Applying for Jobs"
9,"Board of Governors Waiver"
10,"Books/Laptops/Supplies"
11,"Careers"
12,"Childcare"
13,"College Prep"
14,"Consumer Fraud"
15,"Counseling/Therapy"
16,"Dental"
17,"Diploma"
18,"Diplomas"
19,"Divorce/Custody"
20,"Domestic Violence"
21,"Early childhood"
22,"Education"
23,"Extracurricular Activities"
24,"FAFSA"
25,"Family Finding"
26,"Family Housing"
27,"Financial Assistance"
28,"Food"
29,"Free Cell Phone"
30,"IEP/Special Education"
31,"Identity Theft"
32,"Immigration/Citizenship"
33,"Important Documents"
34,"Interview/Work Clothing"
35,"Job Coach/Mentor"
36,"Job Shadowing/Internships"
37,"Job Training"
38,"Jobs/Apprenticeships"
39,"Jos Shadowing/Internships"
40,"Legal Services"
41,"Medi Cal"
42,"Medical Doctors"
43,"Money and Budgeting"
44,"On-campus Support"
45,"Parent Support Groups"
46,"Parenting Classes"
47,"Permanent Housing"
48,"Priority Registration/Enrollment"
49,"Reproductive Health"
50,"Scholarships/Grants"
51,"Sealing Records/Criminal Expungements"
52,"Senior Expenses"
53,"Shelters"
54,"Substance Abuse"
55,"Summer Jobs"
56,"Suspension/Explusion"
57,"Taxes"
58,"Trade Programs"
59,"Transitional Housing"
60,"Transportation"
61,"Tutoring"
62,"Vision"
63,"Visitation"
64,"WIC"
